batting_team,bowling_team,venue,current_score,is_powerplay,balls_left,wickets_left,current_run_rate,Top_Order,Middle_Order,Lower_Order,Tail,last_five,Death_Overs,final_score
Pakistan,South Africa,Centurion,94,0,48,6,7.83333333333333,0,0,1,0,37,0,168
England,India,Manchester,107,0,38,5,7.82926829268293,0,0,1,0,36,0,159
South Africa,Sri Lanka,Hambantota,45,0,76,8,6.13636363636364,0,1,0,0,35,0,163
Sri Lanka,Pakistan,Dubai,58,0,75,10,7.73333333333333,1,0,0,0,37,0,211
Bangladesh,Pakistan,Lahore,92,0,28,6,6,0,0,1,0,32,1,136
West Indies,England,London,204,0,6,3,10.7368421052632,0,0,0,1,59,1,208
Pakistan,Sri Lanka,Colombo,140,0,19,7,8.31683168316832,0,1,0,0,53,1,175
Pakistan,England,Dubai,125,0,1,2,6.30252100840336,0,0,0,1,37,1,129
England,South Africa,Johannesburg,56,1,84,8,9.33333333333333,0,1,0,0,54,0,202
Pakistan,New Zealand,Abu Dhabi,91,0,37,7,6.57831325301205,0,1,0,0,35,0,148
West Indies,New Zealand,Auckland,73,0,78,5,10.4285714285714,0,0,1,0,37,0,180
New Zealand,Sri Lanka,Pallekele,28,0,65,5,3.05454545454545,0,0,1,0,16,0,74
Sri Lanka,Pakistan,London,75,0,35,4,5.29411764705882,0,0,0,1,27,0,138
Australia,Sri Lanka,Barbados,62,0,63,6,6.52631578947368,0,0,1,0,32,0,168
India,South Africa,Durban,97,0,31,6,6.53932584269663,0,0,1,0,40,0,153
Australia,South Africa,Melbourne,140,0,36,6,10,0,0,1,0,47,0,182
West Indies,India,Lauderhill,204,0,28,9,13.304347826087,1,0,0,0,53,1,245
England,Australia,Hobart,71,0,76,8,9.68181818181818,0,1,0,0,50,0,155
South Africa,England,Mumbai,165,0,30,7,11,0,1,0,0,40,0,229
Sri Lanka,Pakistan,Dubai,90,0,28,6,5.8695652173913,0,0,1,0,28,1,145
Australia,South Africa,Durban,68,1,85,9,11.6571428571429,1,0,0,0,60,0,157
Pakistan,England,Barbados,57,0,76,9,7.77272727272727,1,0,0,0,34,0,147
India,Australia,Mirpur,74,0,45,6,5.92,0,0,1,0,23,0,159
Australia,India,Melbourne,105,0,16,3,6.05769230769231,0,0,0,1,35,1,132
West Indies,Bangladesh,Mirpur,54,0,71,10,6.61224489795918,1,0,0,0,29,0,171
Pakistan,Australia,Mirpur,114,0,48,8,9.5,0,1,0,0,65,0,191
Australia,Bangladesh,Barbados,54,0,60,6,5.4,0,0,1,0,23,0,141
Australia,Sri Lanka,Sydney,57,0,63,7,6,0,1,0,0,30,0,137
Australia,Pakistan,Melbourne,87,0,41,4,6.60759493670886,0,0,0,1,19,0,127
Bangladesh,Pakistan,Lahore,77,0,44,7,6.07894736842105,0,1,0,0,36,0,136
South Africa,New Zealand,Chittagong,139,0,13,5,7.79439252336449,0,0,1,0,57,1,170
West Indies,New Zealand,Pallekele,120,0,21,4,7.27272727272727,0,0,0,1,28,1,139
Pakistan,India,Colombo,109,0,24,4,6.8125,0,0,0,1,38,1,128
Pakistan,England,Dubai,103,0,19,5,6.11881188118812,0,0,1,0,40,1,129
Pakistan,Sri Lanka,Colombo,167,0,4,6,8.63793103448276,0,0,1,0,57,1,175
India,England,Bangalore,138,0,27,7,8.90322580645161,0,1,0,0,57,1,202
West Indies,England,Barbados,132,0,17,7,7.68932038834952,0,1,0,0,41,1,170
Sri Lanka,South Africa,Delhi,107,0,20,3,6.42,0,0,0,1,25,1,120
India,Australia,Melbourne,50,0,46,4,4.05405405405405,0,0,0,1,15,0,74
South Africa,Australia,Melbourne,60,0,47,7,4.93150684931507,0,1,0,0,16,0,101
South Africa,Afghanistan,Mumbai,173,0,15,6,9.88571428571429,0,0,1,0,66,1,209
England,India,Birmingham,44,1,86,8,7.76470588235294,0,1,0,0,37,0,180
India,England,Kolkata,32,1,84,7,5.33333333333333,0,1,0,0,27,0,120
South Africa,New Zealand,Chittagong,164,0,2,4,8.33898305084746,0,0,0,1,65,1,170
Sri Lanka,New Zealand,Auckland,72,0,31,2,4.85393258426966,0,0,0,1,17,0,115
Sri Lanka,England,Chittagong,110,0,38,9,8.04878048780488,1,0,0,0,50,0,189
Pakistan,New Zealand,Christchurch,117,0,28,6,7.6304347826087,0,0,1,0,27,0,183
England,Sri Lanka,Delhi,117,0,23,7,7.23711340206186,0,1,0,0,41,1,171
Pakistan,Australia,Harare,64,0,46,4,5.18918918918919,0,0,0,1,35,0,116
New Zealand,Sri Lanka,Colombo,66,0,57,8,6.28571428571429,0,1,0,0,37,0,141
West Indies,India,Lauderhill,54,0,48,5,4.5,0,0,1,0,20,0,95
South Africa,England,Southampton,37,1,89,7,7.16129032258065,0,1,0,0,36,0,142
New Zealand,England,Wellington,82,0,61,9,8.33898305084746,1,0,0,0,41,0,196
West Indies,New Zealand,Wellington,60,0,69,8,7.05882352941176,0,1,0,0,43,0,159
New Zealand,Bangladesh,Mount Maunganui,158,0,14,7,8.94339622641509,0,1,0,0,68,1,194
Afghanistan,India,St Lucia,114,0,2,3,5.79661016949153,0,0,0,1,34,1,115
New Zealand,England,London,139,0,34,8,9.69767441860465,0,1,0,0,47,0,201
India,Sri Lanka,Mirpur,34,0,80,9,5.1,1,0,0,0,30,0,130
India,Australia,Adelaide,74,0,67,8,8.37735849056604,0,1,0,0,34,0,188
Bangladesh,Sri Lanka,Chittagong,40,1,89,7,7.74193548387097,0,1,0,0,39,0,120
Australia,Pakistan,Dubai,134,0,36,8,9.57142857142857,0,1,0,0,45,0,168
West Indies,Australia,St Lucia,97,0,15,1,5.54285714285714,0,0,0,1,20,1,105
Australia,Bangladesh,Barbados,37,0,81,7,5.69230769230769,0,1,0,0,32,0,141
Afghanistan,India,St Lucia,29,1,86,7,5.11764705882353,0,1,0,0,26,0,115
New Zealand,Sri Lanka,Lauderhill,51,0,60,5,5.1,0,0,1,0,37,0,81
England,South Africa,Chester-le-Street,36,1,89,9,6.96774193548387,1,0,0,0,36,0,118
South Africa,New Zealand,Auckland,95,0,54,7,8.63636363636364,0,1,0,0,41,0,165
Pakistan,New Zealand,Auckland,104,0,21,4,6.3030303030303,0,0,0,1,44,1,153
Pakistan,South Africa,Nottingham,128,0,23,6,7.91752577319588,0,0,1,0,40,1,149
West Indies,Sri Lanka,Pallekele,51,0,61,8,5.1864406779661,0,1,0,0,35,0,129
Pakistan,New Zealand,Dubai,126,0,17,5,7.33980582524272,0,0,1,0,30,1,153
Afghanistan,West Indies,Nagpur,84,0,28,5,5.47826086956522,0,0,1,0,32,1,123
Sri Lanka,New Zealand,Auckland,40,0,74,7,5.21739130434783,0,1,0,0,26,0,142
New Zealand,England,Delhi,97,0,51,8,8.43478260869565,0,1,0,0,43,0,153
New Zealand,England,Manchester,54,0,62,7,5.58620689655172,0,1,0,0,36,0,123
New Zealand,Pakistan,Napier,128,0,23,6,7.91752577319588,0,0,1,0,46,1,173
Pakistan,India,Kolkata,107,0,20,5,6.42,0,0,1,0,47,1,118
West Indies,Sri Lanka,Colombo,70,0,41,8,5.31645569620253,0,1,0,0,47,0,137
South Africa,England,Cape Town,114,0,16,4,6.57692307692308,0,0,0,1,26,1,154
New Zealand,India,Hamilton,80,0,75,10,10.6666666666667,1,0,0,0,59,0,212
Sri Lanka,South Africa,Chittagong,149,0,11,5,8.20183486238532,0,0,1,0,43,1,165
Afghanistan,India,St Lucia,40,0,66,7,4.44444444444444,0,1,0,0,18,0,115
England,Pakistan,London,82,0,72,8,10.25,0,1,0,0,54,0,185
Sri Lanka,West Indies,Pallekele,127,0,35,8,8.96470588235294,0,1,0,0,38,0,215
Sri Lanka,New Zealand,Nottingham,106,0,35,7,7.48235294117647,0,1,0,0,29,0,158
West Indies,Sri Lanka,Pallekele,41,0,70,8,4.92,0,1,0,0,28,0,129
South Africa,India,Mirpur,47,0,79,8,6.87804878048781,0,1,0,0,34,0,172
New Zealand,England,Wellington,64,0,58,8,6.19354838709677,0,1,0,0,39,0,139
Sri Lanka,Bangladesh,Chittagong,101,0,49,6,8.53521126760563,0,0,1,0,39,0,168
India,West Indies,Lucknow,85,0,57,10,8.0952380952381,1,0,0,0,37,0,195
Bangladesh,India,Rajkot,136,0,19,5,8.07920792079208,0,0,1,0,39,1,153
New Zealand,Sri Lanka,Auckland,58,0,53,5,5.19402985074627,0,0,1,0,25,0,179
Australia,West Indies,Hobart,67,0,80,10,10.05,1,0,0,0,65,0,179
Australia,Pakistan,Dubai,110,0,59,10,10.8196721311475,1,0,0,0,68,0,168
West Indies,Afghanistan,Lucknow,152,0,3,5,7.7948717948718,0,0,1,0,34,1,164
England,Australia,Southampton,108,0,38,6,7.90243902439024,0,0,1,0,39,0,162
England,New Zealand,Manchester,155,0,19,5,9.20792079207921,0,0,1,0,54,1,191
Bangladesh,West Indies,Lauderhill,148,0,15,6,8.45714285714286,0,0,1,0,58,1,171
West Indies,New Zealand,Auckland,147,0,31,3,9.91011235955056,0,0,0,1,51,0,180
Sri Lanka,New Zealand,Auckland,45,0,76,6,6.13636363636364,0,0,1,0,21,0,115
England,New Zealand,Hamilton,187,0,3,4,9.58974358974359,0,0,0,1,61,1,194
New Zealand,Australia,Auckland,49,1,91,9,10.1379310344828,1,0,0,0,47,0,150
England,New Zealand,Hamilton,106,0,53,8,9.49253731343284,0,1,0,0,64,0,194
West Indies,Australia,Sydney,52,0,67,6,5.88679245283019,0,0,1,0,25,0,138
Bangladesh,Pakistan,Lahore,52,0,71,10,6.36734693877551,1,0,0,0,36,0,141
Australia,New Zealand,Perth,135,0,28,7,8.80434782608696,0,1,0,0,62,1,186
New Zealand,West Indies,Auckland,161,0,14,5,9.11320754716981,0,0,1,0,57,1,189
New Zealand,South Africa,Durban,139,0,15,4,7.94285714285714,0,0,0,1,37,1,151
Sri Lanka,India,Colombo,168,0,7,6,8.92035398230088,0,0,1,0,49,1,171
Australia,England,Hobart,79,0,71,10,9.6734693877551,1,0,0,0,54,0,213
Australia,West Indies,Hobart,44,1,89,10,8.51612903225806,1,0,0,0,43,0,179
England,Pakistan,Manchester,85,0,51,7,7.39130434782609,0,1,0,0,29,0,135
Australia,Sri Lanka,Adelaide,108,0,61,10,10.9830508474576,1,0,0,0,56,0,233
Pakistan,South Africa,Nottingham,52,0,75,8,6.93333333333333,0,1,0,0,24,0,149
India,Bangladesh,Bangalore,48,0,73,8,6.12765957446809,0,1,0,0,31,0,146
Pakistan,Sri Lanka,Johannesburg,150,0,23,6,9.27835051546392,0,0,1,0,64,1,189
Pakistan,Australia,Sydney,63,0,63,8,6.63157894736842,0,1,0,0,32,0,107
India,England,Colombo,129,0,21,7,7.81818181818182,0,1,0,0,44,1,170
New Zealand,England,Manchester,33,1,86,8,5.82352941176471,0,1,0,0,32,0,123
West Indies,Afghanistan,St Kitts,71,0,71,9,8.69387755102041,1,0,0,0,41,0,112
Sri Lanka,Australia,Melbourne,111,0,19,5,6.59405940594059,0,0,1,0,35,1,142
Bangladesh,Pakistan,Cape Town,130,0,18,3,7.64705882352941,0,0,0,1,28,1,140
Pakistan,New Zealand,Dubai,66,0,65,8,7.2,0,1,0,0,34,0,161
West Indies,New Zealand,Wellington,151,0,5,5,7.87826086956522,0,0,1,0,56,1,159
Sri Lanka,New Zealand,Auckland,103,0,26,3,6.57446808510638,0,0,0,1,36,1,142
Pakistan,Bangladesh,Karachi,84,0,66,8,9.33333333333333,0,1,0,0,51,0,203
Australia,Sri Lanka,Adelaide,100,0,54,9,9.09090909090909,1,0,0,0,37,0,187
Sri Lanka,Pakistan,Dubai,153,0,26,8,9.76595744680851,0,1,0,0,54,1,211
South Africa,Australia,Centurion,80,0,50,7,6.85714285714286,0,1,0,0,36,0,156
New Zealand,Australia,Auckland,94,0,54,4,8.54545454545455,0,0,0,1,31,0,150
England,South Africa,Johannesburg,166,0,8,2,8.89285714285714,0,0,0,1,49,1,171
England,India,Birmingham,85,0,52,7,7.5,0,1,0,0,36,0,180
England,Pakistan,Bristol,70,0,54,6,6.36363636363636,0,0,1,0,29,0,144
South Africa,Pakistan,Johannesburg,139,0,10,4,7.58181818181818,0,0,0,1,38,1,153
India,West Indies,Trinidad,56,0,68,6,6.46153846153846,0,0,1,0,37,0,159
West Indies,Australia,Colombo,91,0,47,8,7.47945205479452,0,1,0,0,34,0,205
Pakistan,South Africa,Nottingham,132,0,18,6,7.76470588235294,0,0,1,0,37,1,149
Bangladesh,Australia,Cape Town,112,0,17,4,6.52427184466019,0,0,0,1,33,1,123
Pakistan,India,Kolkata,24,1,89,10,4.64516129032258,1,0,0,0,23,0,118
India,South Africa,Durban,157,0,6,5,8.26315789473684,0,0,1,0,43,1,168
Australia,Sri Lanka,Adelaide,123,0,54,9,11.1818181818182,1,0,0,0,66,0,233
England,West Indies,London,82,0,61,8,8.33898305084746,0,1,0,0,39,0,161
England,New Zealand,Napier,210,0,11,8,11.5596330275229,0,1,0,0,66,1,241
Bangladesh,New Zealand,Napier,100,0,25,4,6.31578947368421,0,0,0,1,30,1,141
Pakistan,Sri Lanka,Lahore,88,0,51,9,7.65217391304348,1,0,0,0,38,0,180
Sri Lanka,New Zealand,Chittagong,98,0,18,3,5.76470588235294,0,0,0,1,25,1,119
West Indies,New Zealand,Pallekele,98,0,44,6,7.73684210526316,0,0,1,0,33,0,139
India,England,Nagpur,37,1,90,9,7.4,1,0,0,0,37,0,144
South Africa,Sri Lanka,Centurion,175,0,2,7,8.89830508474576,0,1,0,0,47,1,180
West Indies,England,London,58,0,71,9,7.10204081632653,1,0,0,0,27,0,169
Pakistan,Bangladesh,Mirpur,75,0,48,8,6.25,0,1,0,0,40,0,141
Sri Lanka,England,London,138,0,22,5,8.44897959183673,0,0,1,0,51,1,183
Australia,South Africa,Melbourne,82,0,72,9,10.25,1,0,0,0,45,0,182
West Indies,Bangladesh,Mirpur,97,0,32,7,6.61363636363636,0,1,0,0,34,0,132
West Indies,England,London,109,0,53,8,9.76119402985075,0,1,0,0,43,0,208
England,Afghanistan,Colombo,101,0,40,8,7.575,0,1,0,0,35,0,196
India,Australia,Adelaide,41,1,90,8,8.2,0,1,0,0,37,0,188
Australia,England,Manchester,48,0,78,9,6.85714285714286,1,0,0,0,36,0,145
Pakistan,West Indies,Karachi,124,0,40,9,9.3,1,0,0,0,53,0,205
New Zealand,Bangladesh,Mount Maunganui,56,0,77,7,7.81395348837209,0,1,0,0,36,0,195
West Indies,Sri Lanka,Pallekele,98,0,18,6,5.76470588235294,0,0,1,0,35,1,129
South Africa,West Indies,London,54,1,86,10,9.52941176470588,1,0,0,0,53,0,183
New Zealand,England,Wellington,117,0,43,6,9.11688311688312,0,0,1,0,48,0,176
West Indies,New Zealand,Auckland,59,1,87,5,10.7272727272727,0,0,1,0,51,0,180
India,New Zealand,Hamilton,142,0,19,7,8.43564356435644,0,1,0,0,44,1,179
West Indies,Bangladesh,Mirpur,129,0,27,6,8.32258064516129,0,0,1,0,43,1,197
Pakistan,Bangladesh,Mirpur,72,0,33,6,4.96551724137931,0,0,1,0,42,0,129
India,Sri Lanka,Mirpur,80,0,45,8,6.4,0,1,0,0,37,0,130
West Indies,Australia,Colombo,113,0,40,7,8.475,0,1,0,0,32,0,191
Bangladesh,Australia,Mirpur,54,0,68,8,6.23076923076923,0,1,0,0,41,0,153
India,Sri Lanka,Colombo,56,0,73,8,7.14893617021277,0,1,0,0,46,0,174
Sri Lanka,England,Pallekele,131,0,19,5,7.78217821782178,0,0,1,0,41,1,169
Pakistan,Bangladesh,Mirpur,130,0,1,3,6.5546218487395,0,0,0,1,25,1,135
New Zealand,England,Durban,34,0,75,6,4.53333333333333,0,0,1,0,18,0,164
